Time	Time	Annotation	Layer
51:01		IL: You know the glorious thing, I mean this is no longer true, but how glorious to be alive at a time when you could astound and bewilder an entire country by putting forward two simple propositions, such as: sex is here to stay and sex is enjoyable	Layton
51:18		Audience laughter and groans	audience
51:34		IL: But if you said that at that time, or if you said that a woman had breasts and other delightful things, there was a silence—a shocked silence… almost like the one that happened just now.	Layton
51:51		IL: So maybe things haven’t changed so much after all. SD: I think in answer to that question about the only Canadian poet who was trooping the country after Wilson Macdonald and Roberts and Carman who performed mostly in the ‘20s, about the only poet who trooped around E. J. Pratt. DL: Yes, that’s true. SD: He’s about the only one. DL: He read at universities, that’s true. I first heard “The Witch’s Brew” at Victoria College in Toronto when I was a highschool student and I first heard Pratt reading it. And this was a very exciting moment, to have poetry in the air instead of on the page.	dialogue
52:52		IL: Of course the reason for the popularity of poetry readings is simple, isn’t it? Namely that the rabbis and the ministers and the priests have lost the kind of authority and prestige that they had and poets have really taken the place of the discredited ministers.	Layton
53:07		People go to poetry readings for spiritual uplift. They don’t go—the young people don’t go to churches, they don’t go to the synagogue. There’s no spiritual uplift to be found there. But you might possibly find something like that a poetry reading! So there’s a laying-on of hands, there’s benison and prayer at poetry readings. So in effect I think that poetry readings have taken the place of chapel-going.	Layton
53:32		SD: I think he’s saying that “the poet is the unacknowledged priest of the world. IL: That’s it, very good. SD: So I think there’s some truth to it. How about other questions from the floor?	dialogue
53:46		DL: There’s someone over here. SD: Yes? Could you direct your question to a specific person and maybe could you stand so everyone can hear you? Sorry about that, but we can’t hear from over there.	dialogue
54:00		Audience member asking question of poets' impressions of impending fascism and their impressions of the people around them	audience
54:18		DL: Well, it was the greatest issue, I think, in Canada, and one that united Canadians in a way that nothing else did. It certainly united the writers. I became an activist when I came back from France in 1931 and I joined a peace group which became the League Against War and Fascism and I joined a youth anti-war group, and we also went out into the streets whenever there were any struggles with the police and the unemployed or any mining or lumber strikes across the country. The writers went out and documented this and wrote about it in the left-wing press and out of that came a lot of my poems about struggle, like “Day and Night” and “The Outrider” and a thing called “Depression Suite” about Toronto unemployed.	Livesay
55:25		So we were very much ‘with it.’ Particularly this was the case when I was a social worker in Montreal and Toronto and I think there was a hardly a day that went by when we didn’t make some act or do some speaking against the danger of fascism coming. And this was the time when, was it Sinclair Lewis wrote It Can’t Happen Here in the United States—a book that influenced of us because he showed that fascism was already showing itself in the United States.	Livesay
55:58		And we could certainly see it in the police actions against, say, Montreal unemployed. I remember walking along the street with the unemployed and the police of Montreal coming out on horseback and the horses kicking us back against the buildings as we marched along the sidewalk. I had seen a lot of this in France when I was at the Sorbonne. But it was a strange thing to find it in Canada.	Livesay
56:28		DL: So it was absolutely—we were certain that unless we stopped it there would be World War. And we were certain that Hitler and Mussolini had to be stopped and therefore the Spanish Civil War was the thing that revealed to us that the chance had come to stop both of these things: war and fascism.	Livesay
56:53		And if it hadn’t been for the non-intervention of Britain, France, and the United States who allowed German and Italian planes and bombs and guns and tanks to come into Spain on behalf of Franco… if there had not been such a non-intervention, I think we might have stopped fascism and then have stopped the war because Hitler and Mussolini used Spain to get practice for their next move.	Livesay
57:28		And we knew this—all the young people I was with knew this was happening and it was kind of—for Canada—it was kind a struggle such as the Americans had over Vietnam. It was our one great struggle. After that, as you know, instead of having a change of society after the war, we went back to comfort and negligence and consumerism. And so everything we had fought for seemed to have been lost.	Livesay
58:06		Audience member asking question about the poets' educational backgrounds	audience
58:20		DL: No, you are quite correct in saying that the poets I’ve mentioned and know now or were writing on behalf of Spain in New Frontier were middle-class. But there were many other unsung poets and balladeers such as I mentioned earlier, such as Joe Wallace and Kenneth Leslie in the Maritimes. There were singers and balladeers in Saskatchewan and British Columbia. It’s just that their work was never published in Canada. Joe Wallace was published in Russia and he got most of his audience from there eventually.	Livesay
59:12		But all that side of labour writing didn’t get published and it’s only now that people are collecting prints to short stories written at the time. I’ve read some fifty short stories written in the ‘30s about the struggles. Realist stories, surrealist stories, ironic, satiric stories that are very worth looking at. And they are just now being collected.	Livesay
59:38		So there’s this strange, strange lapse between what happened as history in the ‘30s and our sudden new interest in it. There have been more books about socialism and communism in Canada and its origins—there have been more books in this last few years than ever before. And there are more biographies and autobiographies of people like Tim Buck, Tom McEwan, J.S.Woodsworth, all of these.	Livesay
1:00:08		It’s the strangest thing that there was almost this complete wipeout of what had happened and of the people who lived through it. But it’s rather marvellous to know that it’s finally being written and published and the novels today that go back that remember, like Garner’s Cabbagetown and the novel of Irene Baird about the unemployed sit-down in Victoria. SD: [whispering] Waste Heritage DL: —has been republished in paperback. And then you have writers like Anne Henry writing about the unemployed days of her youth.	Livesay
1:00:45		All kinds of books are coming out now and I don’t know how to explain it, but this is what’s happening and I find it it’s a very healthy thing.	Livesay
1:00:55		IL: Of course Dorothy is quite right in saying that the Spanish Civil War was a dress rehearsal for the Second World War. The fascists—the Germans and the Italians—were using Spain as a sort of testing ground for their blitzkrieg, and the democracies were asleep. And the poets were aware of what was happening and they knew that what was happening in Spain was heralding World War II.	Layton
1:01:30		But there was another element that was beginning to enter and I think it has to be mentioned because it certainly played a part in my own later development, and in the development of the thinking of both John Sutherland and Louis Dudek.	Layton
1:01:46		One of the insincerities—one of the hypocrisies, I felt—of Patrick Anderson’s position when he talks about the Preview poets being for democracy was the fact that there was a great support for the Soviet Union at the time because the Soviet Union was regarded as an ally.	Layton
1:02:02		Joe Stalin and Communism were regarded as allies of the democracies so we didn’t look too closely into their credentials. But in the latter part of the decade it was becoming quite clear to me that Joe Stalin was as blood-thirsty a dictator as Hitler had been. And that Joe Stalin and the Bolsheviks had killed more people, more innocent people than Hitler, and Mussolini.	Layton
1:02:35		DL: But they did stop Hitler—they stopped the war, along with Churchill. IL: That may be so. Of course they did, and we supported… I want to show the strands and the thinking at the time. We certainly supported the Soviet Union and I wrote poems and articles and I was all there, believe me, along with Patrick Anderson and even A. M. Klein. Of course it was important to keep the alliance going. All I’m saying is that because of the alliance, we didn’t examine the credentials. And we didn’t examine, for example, the credentials of the Bolsheviks or the Communists at the time of the Spanish Civil War. It was later that we read George Orwell when we learned what the Communists were doing to the Trotskyists and the Anarchists and the POUN during the Spanish Civil War that we began to rethink the whole issue.	dialogue
